epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1155.53,0.54322,0.38094,0.83973,0.95539,0.99107,0.97649,0.84191,0.56701,0.40682,0.81973,0.0013664,0.0013664,0.0013664
66,1173.34,0.53875,0.38255,0.85703,0.95639,1,0.97682,0.85256,0.53427,0.39621,0.81807,0.0013565,0.0013565,0.0013565
67,1190.04,0.54364,0.3858,0.84029,0.95561,0.99107,0.98627,0.86714,0.53873,0.38461,0.82297,0.0013466,0.0013466,0.0013466
68,1206.21,0.49068,0.36007,0.84437,0.97014,0.98214,0.98643,0.87233,0.53955,0.36882,0.82016,0.0013367,0.0013367,0.0013367
69,1223.87,0.52151,0.36881,0.83253,0.97672,0.99107,0.99012,0.86224,0.55599,0.37361,0.82593,0.0013268,0.0013268,0.0013268
70,1242.54,0.51908,0.35768,0.83498,0.98029,0.99107,0.9911,0.87489,0.5406,0.37004,0.82112,0.0013169,0.0013169,0.0013169
71,1259.77,0.51964,0.36085,0.84332,0.98975,0.99107,0.99339,0.86874,0.54211,0.35263,0.82021,0.001307,0.001307,0.001307
72,1277.9,0.51955,0.36188,0.83933,0.98228,0.98998,0.99292,0.85913,0.56682,0.37493,0.82568,0.0012971,0.0012971,0.0012971
73,1294.82,0.53376,0.36704,0.83466,0.97898,0.99107,0.99003,0.86614,0.54635,0.35957,0.82242,0.0012872,0.0012872,0.0012872
74,1312.84,0.51232,0.36917,0.83751,0.96544,0.99781,0.98993,0.8595,0.54886,0.37092,0.82549,0.0012773,0.0012773,0.0012773
75,1329.75,0.50152,0.36021,0.83838,0.9796,0.99107,0.99291,0.86423,0.54695,0.34989,0.81819,0.0012674,0.0012674,0.0012674
76,1346.8,0.51339,0.3528,0.82762,0.96517,0.98961,0.99167,0.86961,0.53702,0.35832,0.81821,0.0012575,0.0012575,0.0012575
77,1364.49,0.49457,0.34997,0.83875,0.97203,0.98214,0.9885,0.8758,0.53456,0.36017,0.81654,0.0012476,0.0012476,0.0012476
78,1381.24,0.52507,0.36093,0.8261,0.98212,0.98101,0.98862,0.87225,0.53943,0.37368,0.81589,0.0012377,0.0012377,0.0012377
79,1399.82,0.47947,0.35361,0.83026,0.9821,0.97995,0.99015,0.8684,0.54022,0.37066,0.81654,0.0012278,0.0012278,0.0012278
80,1416.76,0.48347,0.33528,0.82806,0.97195,0.98214,0.98832,0.86977,0.55079,0.37126,0.81897,0.0012179,0.0012179,0.0012179
81,1433.23,0.50379,0.34556,0.83427,0.96593,0.97321,0.989,0.8618,0.55379,0.37637,0.81593,0.001208,0.001208,0.001208
82,1451.09,0.50351,0.34996,0.83337,0.9733,0.97662,0.99105,0.87947,0.51832,0.3743,0.81437,0.0011981,0.0011981,0.0011981
83,1467.49,0.4998,0.34079,0.8285,0.9563,0.97705,0.98857,0.87226,0.5178,0.38979,0.81594,0.0011882,0.0011882,0.0011882
84,1484.06,0.50034,0.34405,0.83373,0.97861,0.97321,0.98721,0.86978,0.52764,0.38925,0.81909,0.0011783,0.0011783,0.0011783
85,1503.08,0.49166,0.33474,0.83168,0.98805,0.97321,0.98903,0.87916,0.52073,0.37008,0.816,0.0011684,0.0011684,0.0011684
86,1521.67,0.48035,0.33733,0.82336,0.98001,0.97321,0.9912,0.8882,0.53056,0.36905,0.81682,0.0011585,0.0011585,0.0011585
87,1538.9,0.50526,0.33645,0.82695,0.97696,0.97321,0.9919,0.87798,0.53712,0.36049,0.81937,0.0011486,0.0011486,0.0011486
88,1556.64,0.48453,0.33274,0.81778,0.98212,0.98087,0.99128,0.88105,0.52121,0.35581,0.81799,0.0011387,0.0011387,0.0011387
89,1574.78,0.48407,0.33444,0.83282,0.98211,0.98017,0.9857,0.86767,0.53483,0.35277,0.81931,0.0011288,0.0011288,0.0011288
90,1592.1,0.50162,0.34539,0.83645,0.97368,0.99104,0.98749,0.87431,0.52586,0.34027,0.8167,0.0011189,0.0011189,0.0011189
91,1608.2,0.4773,0.331,0.82913,0.97361,1,0.98943,0.86357,0.55061,0.35786,0.82574,0.001109,0.001109,0.001109
